"source","disease","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","Hib","Hib","Kentucky",2020,"birth_cohort",90.1,"84.4 to 94.3",324
"child_vax_view","Hib","Hib","Kentucky",2021,"birth_cohort",92.4,"88.3 to 95.5",333
"child_vax_view","Hib","Hib","Kentucky",2022,"birth_cohort",90.9,"83.4 to 95.9",186
"child_vax_view","Hib","Hib","Louisiana",2019,"birth_cohort",94.6,"90.9 to 97.2",411
"child_vax_view","Hib","Hib","Louisiana",2020,"birth_cohort",93.5,"89.8 to 96.2",433
"child_vax_view","Hib","Hib","Louisiana",2021,"birth_cohort",90,"83.6 to 94.7",428
"child_vax_view","Hib","Hib","Louisiana",2022,"birth_cohort",96.1,"91.0 to 98.8",214
"child_vax_view","Hib","Hib","Maine",2019,"birth_cohort",94.4,"90.0 to 97.3",244
"child_vax_view","Hib","Hib","Maine",2020,"birth_cohort",96,"92.5 to 98.1",223
"child_vax_view","Hib","Hib","Maine",2021,"birth_cohort",95.7,"92.2 to 98.0",228
"child_vax_view","Hib","Hib","Maine",2022,"birth_cohort",96.6,"91.7 to 99.0",133
"child_vax_view","Hib","Hib","Maryland",2019,"birth_cohort",95,"92.2 to 97.0",614
"child_vax_view","Hib","Hib","Maryland",2020,"birth_cohort",94.9,"92.1 to 96.9",494
"child_vax_view","Hib","Hib","Maryland",2021,"birth_cohort",94.3,"89.9 to 97.2",525
"child_vax_view","Hib","Hib","Maryland",2022,"birth_cohort",95.5,"91.2 to 98.1",268
"child_vax_view","Hib","Hib","Massachusetts",2019,"birth_cohort",97,"94.1 to 98.7",295
"child_vax_view","Hib","Hib","Massachusetts",2020,"birth_cohort",95.3,"92.0 to 97.5",268
"child_vax_view","Hib","Hib","Massachusetts",2021,"birth_cohort",97.5,"95.0 to 98.9",277
"child_vax_view","Hib","Hib","Massachusetts",2022,"birth_cohort",90.3,"82.8 to 95.4",175
"child_vax_view","Hib","Hib","Michigan",2019,"birth_cohort",95.6,"92.7 to 97.6",375
"child_vax_view","Hib","Hib","Michigan",2020,"birth_cohort",90.8,"84.5 to 95.3",448
"child_vax_view","Hib","Hib","Michigan",2021,"birth_cohort",89.7,"84.3 to 93.8",467
"child_vax_view","Hib","Hib","Michigan",2022,"birth_cohort",93.4,"88.5 to 96.7",251
"child_vax_view","Hib","Hib","Minnesota",2019,"birth_cohort",94.4,"88.9 to 97.7",283
"child_vax_view","Hib","Hib","Minnesota",2020,"birth_cohort",91.7,"86.6 to 95.4",239
"child_vax_view","Hib","Hib","Minnesota",2021,"birth_cohort",92.9,"88.7 to 96.0",278
"child_vax_view","Hib","Hib","Minnesota",2022,"birth_cohort",94.8,"89.5 to 98.0",166
"child_vax_view","Hib","Hib","Mississippi",2019,"birth_cohort",91.8,"85.9 to 95.9",324
"child_vax_view","Hib","Hib","Mississippi",2020,"birth_cohort",91.3,"86.2 to 95.1",308
"child_vax_view","Hib","Hib","Mississippi",2021,"birth_cohort",89.3,"83.3 to 93.8",268
"child_vax_view","Hib","Hib","Mississippi",2022,"birth_cohort",91.8,"79.0 to 98.2",160
"child_vax_view","Hib","Hib","Missouri",2019,"birth_cohort",88.2,"82.6 to 92.7",402
"child_vax_view","Hib","Hib","Missouri",2020,"birth_cohort",93.5,"89.7 to 96.3",390
"child_vax_view","Hib","Hib","Missouri",2021,"birth_cohort",92.9,"89.5 to 95.4",387
"child_vax_view","Hib","Hib","Missouri",2022,"birth_cohort",93.8,"89.0 to 96.9",194
"child_vax_view","Hib","Hib","Montana",2019,"birth_cohort",94.1,"89.3 to 97.2",187
"child_vax_view","Hib","Hib","Montana",2020,"birth_cohort",91.1,"86.7 to 94.5",220
"child_vax_view","Hib","Hib","Montana",2021,"birth_cohort",90.4,"84.9 to 94.6",219
"child_vax_view","Hib","Hib","Montana",2022,"birth_cohort",93.3,"88.7 to 96.4",154
"child_vax_view","Hib","Hib","Nebraska",2019,"birth_cohort",95.1,"92.0 to 97.2",259
"child_vax_view","Hib","Hib","Nebraska",2020,"birth_cohort",94,"90.3 to 96.6",251
"child_vax_view","Hib","Hib","Nebraska",2021,"birth_cohort",92.3,"87.4 to 95.8",256
"child_vax_view","Hib","Hib","Nebraska",2022,"birth_cohort",96.5,"93.1 to 98.6",148
"child_vax_view","Hib","Hib","Nevada",2019,"birth_cohort",91.2,"86.7 to 94.6",340
"child_vax_view","Hib","Hib","Nevada",2020,"birth_cohort",88.1,"81.2 to 93.3",323
"child_vax_view","Hib","Hib","Nevada",2021,"birth_cohort",87.1,"82.1 to 91.2",352
"child_vax_view","Hib","Hib","Nevada",2022,"birth_cohort",97.5,"94.1 to 99.2",200
"child_vax_view","Hib","Hib","New Hampshire",2019,"birth_cohort",94.8,"90.6 to 97.5",214
"child_vax_view","Hib","Hib","New Hampshire",2020,"birth_cohort",96.5,"92.3 to 98.7",189
"child_vax_view","Hib","Hib","New Hampshire",2021,"birth_cohort",96,"92.4 to 98.2",231
"child_vax_view","Hib","Hib","New Hampshire",2022,"birth_cohort",95,"90.4 to 97.8",123
"child_vax_view","Hib","Hib","New Jersey",2019,"birth_cohort",95.8,"91.6 to 98.3",279
"child_vax_view","Hib","Hib","New Jersey",2020,"birth_cohort",95.7,"92.3 to 97.9",268
"child_vax_view","Hib","Hib","New Jersey",2021,"birth_cohort",90.3,"85.4 to 94.1",291
"child_vax_view","Hib","Hib","New Jersey",2022,"birth_cohort",90.9,"83.3 to 95.9",172
"child_vax_view","Hib","Hib","New Mexico",2019,"birth_cohort",97.4,"95.5 to 98.7",374
"child_vax_view","Hib","Hib","New Mexico",2020,"birth_cohort",92.5,"88.1 to 95.6",357
"child_vax_view","Hib","Hib","New Mexico",2021,"birth_cohort",90.2,"85.8 to 93.7",352
"child_vax_view","Hib","Hib","New Mexico",2022,"birth_cohort",95.3,"91.1 to 97.9",186
"child_vax_view","Hib","Hib","New York",2019,"birth_cohort",91.7,"87.8 to 94.8",637
"child_vax_view","Hib","Hib","New York",2020,"birth_cohort",94.1,"91.1 to 96.3",624
"child_vax_view","Hib","Hib","New York",2021,"birth_cohort",92,"88.2 to 94.9",640
"child_vax_view","Hib","Hib","New York",2022,"birth_cohort",89,"83.6 to 93.1",360
"child_vax_view","Hib","Hib","North Carolina",2019,"birth_cohort",96.9,"94.3 to 98.6",314
"child_vax_view","Hib","Hib","North Carolina",2020,"birth_cohort",96.2,"93.8 to 97.8",459
"child_vax_view","Hib","Hib","North Carolina",2021,"birth_cohort",94.5,"91.6 to 96.7",435
"child_vax_view","Hib","Hib","North Carolina",2022,"birth_cohort",96.4,"92.7 to 98.5",207
"child_vax_view","Hib","Hib","North Dakota",2019,"birth_cohort",95.7,"92.5 to 97.8",263
"child_vax_view","Hib","Hib","North Dakota",2020,"birth_cohort",94,"89.9 to 96.8",248
"child_vax_view","Hib","Hib","North Dakota",2021,"birth_cohort",89.7,"84.1 to 94.0",233
"child_vax_view","Hib","Hib","North Dakota",2022,"birth_cohort",94.2,"89.1 to 97.5",151
"child_vax_view","Hib","Hib","Ohio",2019,"birth_cohort",93.7,"89.8 to 96.5",384
"child_vax_view","Hib","Hib","Ohio",2020,"birth_cohort",93.1,"89.9 to 95.6",484
"child_vax_view","Hib","Hib","Ohio",2021,"birth_cohort",92.3,"88.3 to 95.3",418
"child_vax_view","Hib","Hib","Ohio",2022,"birth_cohort",91.8,"86.5 to 95.6",237
"child_vax_view","Hib","Hib","Oklahoma",2019,"birth_cohort",91.3,"85.0 to 95.7",205
"child_vax_view","Hib","Hib","Oklahoma",2020,"birth_cohort",92.4,"88.4 to 95.4",298
"child_vax_view","Hib","Hib","Oklahoma",2021,"birth_cohort",88.8,"84.0 to 92.7",236
"child_vax_view","Hib","Hib","Oklahoma",2022,"birth_cohort",87.6,"77.2 to 94.8",120
"child_vax_view","Hib","Hib","Oregon",2019,"birth_cohort",92.2,"87.2 to 95.8",264
"child_vax_view","Hib","Hib","Oregon",2020,"birth_cohort",90.3,"84.2 to 94.7",220
"child_vax_view","Hib","Hib","Oregon",2021,"birth_cohort",90,"85.2 to 93.7",255
"child_vax_view","Hib","Hib","Oregon",2022,"birth_cohort",96.4,"92.9 to 98.5",152
"child_vax_view","Hib","Hib","Pennsylvania",2019,"birth_cohort",95.3,"92.4 to 97.4",641
"child_vax_view","Hib","Hib","Pennsylvania",2020,"birth_cohort",89.2,"84.6 to 92.9",655
"child_vax_view","Hib","Hib","Pennsylvania",2021,"birth_cohort",91,"87.9 to 93.6",668
"child_vax_view","Hib","Hib","Pennsylvania",2022,"birth_cohort",91.9,"87.6 to 95.2",359
"child_vax_view","Hib","Hib","Rhode Island",2019,"birth_cohort",96.3,"91.9 to 98.7",277
"child_vax_view","Hib","Hib","Rhode Island",2020,"birth_cohort",95.9,"90.1 to 98.8",301
"child_vax_view","Hib","Hib","Rhode Island",2021,"birth_cohort",96.3,"93.3 to 98.2",354
"child_vax_view","Hib","Hib","Rhode Island",2022,"birth_cohort",95.1,"90.1 to 98.1",201
"child_vax_view","Hib","Hib","South Carolina",2019,"birth_cohort",96.1,"93.2 to 98.0",245
"child_vax_view","Hib","Hib","South Carolina",2020,"birth_cohort",91.2,"85.5 to 95.3",243
"child_vax_view","Hib","Hib","South Carolina",2021,"birth_cohort",89.8,"85.0 to 93.5",300
"child_vax_view","Hib","Hib","South Carolina",2022,"birth_cohort",96.1,"92.4 to 98.4",160
"child_vax_view","Hib","Hib","South Dakota",2019,"birth_cohort",94.9,"91.3 to 97.3",318
"child_vax_view","Hib","Hib","South Dakota",2020,"birth_cohort",93.6,"88.7 to 96.8",289
"child_vax_view","Hib","Hib","South Dakota",2021,"birth_cohort",89.7,"84.4 to 93.8",279
"child_vax_view","Hib","Hib","South Dakota",2022,"birth_cohort",93.7,"87.8 to 97.3",145
"child_vax_view","Hib","Hib","Tennessee",2019,"birth_cohort",93,"89.2 to 95.8",396
"child_vax_view","Hib","Hib","Tennessee",2020,"birth_cohort",92.8,"87.4 to 96.5",363
"child_vax_view","Hib","Hib","Tennessee",2021,"birth_cohort",95.2,"91.7 to 97.6",336
"child_vax_view","Hib","Hib","Tennessee",2022,"birth_cohort",94.8,"91.1 to 97.3",182
"child_vax_view","Hib","Hib","Texas",2019,"birth_cohort",91.3,"88.0 to 94.0",919
"child_vax_view","Hib","Hib","Texas",2020,"birth_cohort",90.3,"86.9 to 93.2",795
"child_vax_view","Hib","Hib","Texas",2021,"birth_cohort",91.6,"88.4 to 94.2",814
"child_vax_view","Hib","Hib","Texas",2022,"birth_cohort",91.3,"87.5 to 94.3",541
"child_vax_view","Hib","Hib","United States",2019,"birth_cohort",93.9,"93.3 to 94.5",17265
"child_vax_view","Hib","Hib","United States",2020,"birth_cohort",91.8,"90.9 to 92.6",17387
"child_vax_view","Hib","Hib","United States",2021,"birth_cohort",91.8,"91.0 to 92.5",17612
"child_vax_view","Hib","Hib","United States",2022,"birth_cohort",92,"90.8 to 93.0",9780
"child_vax_view","Hib","Hib","Utah",2019,"birth_cohort",96.2,"93.4 to 98.1",330
"child_vax_view","Hib","Hib","Utah",2020,"birth_cohort",93.3,"89.6 to 96.1",333
"child_vax_view","Hib","Hib","Utah",2021,"birth_cohort",93.3,"90.2 to 95.7",332
