"source","state_name","school_year","year","population_size","any_rate","medical_rate","non_medical_rate","any_n","medical_n","non_medical_n"
"school_vax_view","Missouri","2023-24",2023,69014,4.7,0.2,4.5,3245,151,3094
"school_vax_view","Missouri","2024-25",2024,68163,5.2,0.2,5,3551,154,3397
"school_vax_view","Montana","2019-20",2019,12501,4.3,0.2,4,535,30,505
"school_vax_view","Montana","2020-21",2020,11279,3.5,0.2,3.3,400,24,376
"school_vax_view","Nebraska","2019-20",2019,26893,2.2,0.4,1.8,591,106,485
"school_vax_view","Nebraska","2020-21",2020,25681,2.2,0.6,1.6,555,143,413
"school_vax_view","Nebraska","2021-22",2021,25018,2.5,0.3,2.2,628,85,543
"school_vax_view","Nebraska","2022-23",2022,23176,2.6,0.5,2.1,601,123,478
"school_vax_view","Nebraska","2023-24",2023,23118,3.5,0.7,2.8,813,155,658
"school_vax_view","Nebraska","2024-25",2024,24102,4,0.5,3.5,966,122,844
"school_vax_view","Nevada","2019-20",2019,37724,4,0.5,3.5,1492,170,1322
"school_vax_view","Nevada","2020-21",2020,34171,4.4,0.8,3.6,1511,278,1232
"school_vax_view","Nevada","2021-22",2021,36855,4.8,0.4,4.4,1779,164,1615
"school_vax_view","Nevada","2022-23",2022,34333,5.6,0.4,5.2,1912,136,1776
"school_vax_view","Nevada","2023-24",2023,31261,7.1,0.9,6.2,2213,271,1942
"school_vax_view","Nevada","2024-25",2024,33272,7.1,0.5,6.7,2376,153,2222
"school_vax_view","New Hampshire","2019-20",2019,12447,3.1,0.2,2.9,389,29,360
"school_vax_view","New Hampshire","2020-21",2020,10242,2.8,0.2,2.6,287,25,263
"school_vax_view","New Hampshire","2021-22",2021,12157,3.4,0.2,3.2,419,29,390
"school_vax_view","New Hampshire","2022-23",2022,11332,3.4,0.1,3.2,382,15,367
"school_vax_view","New Hampshire","2023-24",2023,11871,4.1,0.3,3.9,492,34,458
"school_vax_view","New Hampshire","2024-25",2024,11713,4.1,0.2,3.9,481,24,457
"school_vax_view","New Jersey","2019-20",2019,107900,2.6,0.2,2.4,2776,188,2588
"school_vax_view","New Jersey","2020-21",2020,100144,2.2,0.1,2.1,2248,135,2113
"school_vax_view","New Jersey","2021-22",2021,104240,2.6,0.1,2.5,2730,146,2584
"school_vax_view","New Jersey","2022-23",2022,104468,3.2,0.1,3,3314,133,3181
"school_vax_view","New Jersey","2023-24",2023,105408,3.9,0.1,3.7,4071,142,3929
"school_vax_view","New Jersey","2024-25",2024,104339,4.7,0.1,4.6,4930,140,4790
"school_vax_view","New Mexico","2019-20",2019,23087,1.5,0.2,1.3,344,46,298
"school_vax_view","New Mexico","2020-21",2020,20589,0.9,0.1,0.8,189,23,166
"school_vax_view","New Mexico","2021-22",2021,20736,1.4,0.3,1.1,280,58,222
"school_vax_view","New Mexico","2022-23",2022,21068,1.5,0.1,1.4,319,28,291
"school_vax_view","New Mexico","2023-24",2023,20699,1.6,0.1,1.4,329,29,300
"school_vax_view","New Mexico","2024-25",2024,20180,2,0.1,1.9,401,19,382
"school_vax_view","New York","2019-20",2019,234165,0.1,0.1,NA,320,320,NA
"school_vax_view","New York","2020-21",2020,216804,0.1,0.1,NA,264,264,NA
"school_vax_view","New York","2021-22",2021,195377,0.1,0.1,NA,241,241,NA
"school_vax_view","New York","2022-23",2022,205906,0.1,0.1,NA,247,247,NA
"school_vax_view","New York","2023-24",2023,200894,0.1,0.1,NA,255,255,NA
"school_vax_view","New York","2024-25",2024,234054,0.3,0.3,NA,632,632,NA
"school_vax_view","North Carolina","2019-20",2019,124548,1.7,0.1,1.6,2161,158,2003
"school_vax_view","North Carolina","2020-21",2020,120995,1.5,0.1,1.4,1826,127,1700
"school_vax_view","North Carolina","2021-22",2021,118191,1.9,0.1,1.8,2210,99,2111
"school_vax_view","North Carolina","2022-23",2022,125679,2.4,0.1,2.3,3011,153,2859
"school_vax_view","North Carolina","2023-24",2023,125964,2.9,0.1,2.8,3636,170,3466
"school_vax_view","North Carolina","2024-25",2024,124028,3.2,0.1,3.1,3948,145,3803
"school_vax_view","North Dakota","2019-20",2019,10587,3.9,0.3,3.6,413,32,381
"school_vax_view","North Dakota","2020-21",2020,10116,4.2,0.2,4,423,21,401
"school_vax_view","North Dakota","2021-22",2021,10755,5.3,0.3,5.1,573,27,546
"school_vax_view","North Dakota","2022-23",2022,10554,5.1,0.2,4.9,542,22,520
"school_vax_view","North Dakota","2023-24",2023,9708,6.5,0.2,6.3,630,20,611
"school_vax_view","North Dakota","2024-25",2024,9659,7,0.2,6.7,672,23,649
"school_vax_view","Ohio","2019-20",2019,139103,2.8,0.2,2.6,3921,346,3575
"school_vax_view","Ohio","2020-21",2020,128535,2.5,0.2,2.4,3275,253,3022
"school_vax_view","Ohio","2021-22",2021,139077,3,0.2,2.8,4212,279,3933
"school_vax_view","Ohio","2022-23",2022,134893,3.8,0.2,3.6,5127,275,4852
"school_vax_view","Ohio","2023-24",2023,133716,4.2,0.2,4,5642,266,5377
"school_vax_view","Ohio","2024-25",2024,131589,4.7,0.2,4.5,6129,224,5905
"school_vax_view","Oklahoma","2019-20",2019,55348,2.7,0.1,2.5,1468,73,1395
"school_vax_view","Oklahoma","2020-21",2020,52656,2.4,0.2,2.3,1275,87,1188
"school_vax_view","Oklahoma","2021-22",2021,54042,3.5,0.2,3.3,1865,86,1779
"school_vax_view","Oklahoma","2022-23",2022,52548,4.7,0.4,4.3,2466,204,2261
"school_vax_view","Oklahoma","2023-24",2023,49979,5.7,0.2,5.5,2867,99,2768
"school_vax_view","Oklahoma","2024-25",2024,47544,5.7,0.3,5.4,2709,119,2589
"school_vax_view","Oregon","2019-20",2019,45959,7.1,0.2,6.9,3265,73,3192
"school_vax_view","Oregon","2020-21",2020,39568,5.4,0.1,5.3,2118,39,2079
"school_vax_view","Oregon","2021-22",2021,41538,7,0.1,6.9,2895,43,2852
"school_vax_view","Oregon","2022-23",2022,40963,8.2,0.1,8.1,3358,37,3321
"school_vax_view","Oregon","2023-24",2023,39568,8.9,0.1,8.8,3532,46,3486
"school_vax_view","Oregon","2024-25",2024,38247,9.8,0.1,9.7,3746,31,3715
"school_vax_view","Pennsylvania","2019-20",2019,140197,3,0.4,2.6,4137,507,3630
"school_vax_view","Pennsylvania","2020-21",2020,129307,2.7,0.3,2.5,3530,356,3174
"school_vax_view","Pennsylvania","2021-22",2021,139558,3.3,0.3,3,4644,466,4178
"school_vax_view","Pennsylvania","2022-23",2022,137259,3.8,0.4,3.5,5220,504,4716
"school_vax_view","Pennsylvania","2023-24",2023,137593,5,0.3,4.7,6877,438,6439
"school_vax_view","Pennsylvania","2024-25",2024,140160,6,0.3,5.6,8343,464,7878
"school_vax_view","Rhode Island","2019-20",2019,11219,1.3,0.2,1,141,24,117
"school_vax_view","Rhode Island","2020-21",2020,10402,1,0.1,0.9,108,10,99
"school_vax_view","Rhode Island","2021-22",2021,11002,1.2,0.1,1.1,129,10,119
"school_vax_view","Rhode Island","2022-23",2022,10532,1.5,0.1,1.4,154,11,143
"school_vax_view","Rhode Island","2023-24",2023,10539,1.7,0.1,1.5,175,15,159
"school_vax_view","Rhode Island","2024-25",2024,10088,1.9,0.2,1.7,192,20,172
"school_vax_view","South Carolina","2019-20",2019,65938,2.6,0.2,2.5,1731,115,1616
"school_vax_view","South Carolina","2020-21",2020,56330,2.4,0.2,2.3,1380,92,1288
"school_vax_view","South Carolina","2021-22",2021,58276,3.4,0.2,3.2,1994,124,1870
"school_vax_view","South Carolina","2022-23",2022,58878,4.1,0.2,3.9,2419,138,2281
"school_vax_view","South Carolina","2023-24",2023,58069,4.4,0.2,4.2,2556,108,2448
"school_vax_view","South Carolina","2024-25",2024,57718,4.6,0.1,4.5,2681,80,2601
"school_vax_view","South Dakota","2019-20",2019,12367,2.7,0.1,2.6,337,18,319
"school_vax_view","South Dakota","2020-21",2020,11512,3.4,0.1,3.2,389,16,373
"school_vax_view","South Dakota","2021-22",2021,12251,3.5,0.1,3.4,434,18,416
"school_vax_view","South Dakota","2022-23",2022,12081,4.1,0.1,4,499,11,488
"school_vax_view","South Dakota","2023-24",2023,11744,5.7,0.2,5.4,664,27,637
"school_vax_view","South Dakota","2024-25",2024,11367,6.8,0.1,6.7,768,7,761
"school_vax_view","Tennessee","2019-20",2019,80595,2,0.1,1.9,1610,101,1509
"school_vax_view","Tennessee","2020-21",2020,73819,1.9,0.1,1.8,1419,87,1332
