"source","vaccine","state_name","season","season_start","month","month_rank","vaccine_coverage_estimate","sample_size"
"cdc_iis","nirsevimab","Florida","2025-26",2025,"NOV",3,27.353996038756,149448
"cdc_iis","nirsevimab","Florida","2025-26",2025,"DEC",4,29.5576610816694,168129
"cdc_iis","nirsevimab","Florida","2025-26",2025,"JAN",5,30.0428242599433,186810
"cdc_iis","nirsevimab","Florida","2025-26",2025,"FEB",6,29.6056761609997,205491
"cdc_iis","nirsevimab","Florida","2025-26",2025,"MAR",7,29.1249576218261,224172
"cdc_iis","nirsevimab","Florida","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"SEP",1,0,62497
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"OCT",2,0,72913
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"NOV",3,21.8975386720109,83329
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"DEC",4,24.8642594271695,93745
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"JAN",5,24.3824464050844,104161
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"FEB",6,22.3168698778987,114577
"cdc_iis","nirsevimab","Georgia","2024-25",2024,"MAR",7,20.5459505732321,124993
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"SEP",1,2.29182704644598,62352
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"OCT",2,22.6880936997374,72743
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"NOV",3,30.8053166536356,83135
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"DEC",4,34.2382413634565,93527
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"JAN",5,35.4285549322068,103919
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"FEB",6,35.2844433169161,114311
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"MAR",7,34.836371218014,124703
"cdc_iis","nirsevimab","Georgia","2025-26",2025,"APR",8,35.7256842257203,124703
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Hawaii","2024-25",2024,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Hawaii","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"SEP",1,0.473361796918507,10774
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"OCT",2,9.06197788209086,12569
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"NOV",3,22.262443438914,14365
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"DEC",4,28.3292079207921,16160
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"JAN",5,29.7560703942972,17956
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"FEB",6,30.0035441243481,19751
"cdc_iis","nirsevimab","Idaho","2024-25",2024,"MAR",7,29.9763308117139,21547
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Idaho","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"SEP",1,0.952503355896381,70026
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"OCT",2,21.211305188685,81697
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"NOV",3,30.952788964099,93368
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"DEC",4,34.5328877845372,105039
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"JAN",5,35.1915002998886,116710
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"FEB",6,34.3158255505098,128381
"cdc_iis","nirsevimab","Illinois","2024-25",2024,"MAR",7,33.5689601005341,140052
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Illinois","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"SEP",1,2.272218769422,40225
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"OCT",2,23.7358562935498,46929
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"NOV",3,33.3842969813361,53633
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"DEC",4,37.135801650701,60338
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"JAN",5,38.0045344709287,67042
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"FEB",6,37.4135546334716,73746
"cdc_iis","nirsevimab","Indiana","2024-25",2024,"MAR",7,36.9073958980733,80450
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"SEP",1,2.19671632715111,39468
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"OCT",2,32.0577695732436,46045
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"NOV",3,42.9698040780647,52623
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"DEC",4,46.524551950136,59201
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"JAN",5,46.8523388923517,65779
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"FEB",6,46.2318780491176,72357
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"MAR",7,45.5628048394248,78935
"cdc_iis","nirsevimab","Indiana","2025-26",2025,"APR",8,46.0771520871603,78935
"cdc_iis","nirsevimab","Iowa","2024-25",2024,"SEP",1,1.39557526910802,18487
