"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","PCV","Nevada",2021,"birth_cohort",75.2,"69.0 to 81.0",352
"child_vax_view","PCV","Nevada",2022,"birth_cohort",93.5,"86.4 to 97.7",200
"child_vax_view","PCV","New Hampshire",2019,"birth_cohort",86.1,"79.7 to 91.3",214
"child_vax_view","PCV","New Hampshire",2020,"birth_cohort",90.4,"84.0 to 95.0",189
"child_vax_view","PCV","New Hampshire",2021,"birth_cohort",90.9,"86.3 to 94.5",231
"child_vax_view","PCV","New Hampshire",2022,"birth_cohort",87.5,"79.8 to 93.3",123
"child_vax_view","PCV","New Jersey",2019,"birth_cohort",76.9,"68.1 to 84.7",279
"child_vax_view","PCV","New Jersey",2020,"birth_cohort",85.3,"77.3 to 91.6",268
"child_vax_view","PCV","New Jersey",2021,"birth_cohort",82.3,"76.1 to 87.8",291
"child_vax_view","PCV","New Jersey",2022,"birth_cohort",80.1,"69.9 to 88.6",172
"child_vax_view","PCV","New Mexico",2019,"birth_cohort",87.8,"83.4 to 91.5",374
"child_vax_view","PCV","New Mexico",2020,"birth_cohort",86.3,"80.8 to 90.8",357
"child_vax_view","PCV","New Mexico",2021,"birth_cohort",84,"77.4 to 89.6",352
"child_vax_view","PCV","New Mexico",2022,"birth_cohort",86.6,"79.9 to 92.0",186
"child_vax_view","PCV","New York",2019,"birth_cohort",82.8,"77.6 to 87.3",637
"child_vax_view","PCV","New York",2020,"birth_cohort",85.5,"81.1 to 89.4",624
"child_vax_view","PCV","New York",2021,"birth_cohort",85.5,"80.6 to 89.7",640
"child_vax_view","PCV","New York",2022,"birth_cohort",79,"72.7 to 84.6",360
"child_vax_view","PCV","North Carolina",2019,"birth_cohort",95.6,"92.5 to 97.7",314
"child_vax_view","PCV","North Carolina",2020,"birth_cohort",89.9,"85.3 to 93.6",459
"child_vax_view","PCV","North Carolina",2021,"birth_cohort",88,"82.8 to 92.2",435
"child_vax_view","PCV","North Carolina",2022,"birth_cohort",86.4,"78.7 to 92.4",207
"child_vax_view","PCV","North Dakota",2019,"birth_cohort",86.8,"79.8 to 92.2",263
"child_vax_view","PCV","North Dakota",2020,"birth_cohort",84.9,"78.6 to 90.1",248
"child_vax_view","PCV","North Dakota",2021,"birth_cohort",78.5,"70.9 to 85.3",233
"child_vax_view","PCV","North Dakota",2022,"birth_cohort",79.2,"69.7 to 87.2",151
"child_vax_view","PCV","Ohio",2019,"birth_cohort",85.4,"78.9 to 90.8",384
"child_vax_view","PCV","Ohio",2020,"birth_cohort",83.7,"78.6 to 88.2",484
"child_vax_view","PCV","Ohio",2021,"birth_cohort",86.1,"80.6 to 90.8",418
"child_vax_view","PCV","Ohio",2022,"birth_cohort",86.7,"80.7 to 91.6",237
"child_vax_view","PCV","Oklahoma",2019,"birth_cohort",81.2,"73.1 to 88.1",205
"child_vax_view","PCV","Oklahoma",2020,"birth_cohort",83.2,"74.5 to 90.3",298
"child_vax_view","PCV","Oklahoma",2021,"birth_cohort",78.2,"71.1 to 84.6",236
"child_vax_view","PCV","Oklahoma",2022,"birth_cohort",75.2,"64.2 to 85.0",120
"child_vax_view","PCV","Oregon",2019,"birth_cohort",84.7,"77.5 to 90.7",264
"child_vax_view","PCV","Oregon",2020,"birth_cohort",79.9,"72.5 to 86.4",220
"child_vax_view","PCV","Oregon",2021,"birth_cohort",78.6,"72.4 to 84.2",255
"child_vax_view","PCV","Oregon",2022,"birth_cohort",79,"70.4 to 86.4",152
"child_vax_view","PCV","Pennsylvania",2019,"birth_cohort",90.8,"86.5 to 94.1",641
"child_vax_view","PCV","Pennsylvania",2020,"birth_cohort",82.9,"77.7 to 87.5",655
