source,state_name,school_year,year,exemption_type,exemption_rate,population_size,number_of_exemptions
school_vax_view,Iowa,2023-24,2023,non_medical,3.2,38611,1243
school_vax_view,Iowa,2024-25,2024,any,3.9,38268,1499
school_vax_view,Iowa,2024-25,2024,medical,0.2,38268,62
school_vax_view,Iowa,2024-25,2024,non_medical,3.8,38268,1437
school_vax_view,Kansas,2019-20,2019,any,2.1,37865,805
school_vax_view,Kansas,2019-20,2019,medical,0.3,37865,99
school_vax_view,Kansas,2019-20,2019,non_medical,1.9,37865,705
school_vax_view,Kansas,2020-21,2020,any,2.0,34687,684
school_vax_view,Kansas,2020-21,2020,medical,0.2,34687,71
school_vax_view,Kansas,2020-21,2020,non_medical,1.8,34687,613
school_vax_view,Kansas,2021-22,2021,any,2.3,36526,830
school_vax_view,Kansas,2021-22,2021,medical,0.2,36526,80
school_vax_view,Kansas,2021-22,2021,non_medical,2.1,36526,750
school_vax_view,Kansas,2022-23,2022,any,2.9,35543,1041
school_vax_view,Kansas,2022-23,2022,medical,0.3,35543,116
school_vax_view,Kansas,2022-23,2022,non_medical,2.6,35543,926
school_vax_view,Kansas,2023-24,2023,any,3.0,34178,1024
school_vax_view,Kansas,2023-24,2023,medical,0.3,34178,87
school_vax_view,Kansas,2023-24,2023,non_medical,2.7,34178,937
school_vax_view,Kansas,2024-25,2024,any,3.6,33892,1219
school_vax_view,Kansas,2024-25,2024,medical,0.3,33892,104
school_vax_view,Kansas,2024-25,2024,non_medical,3.3,33892,1115
school_vax_view,Kentucky,2019-20,2019,any,1.8,59233,1082
school_vax_view,Kentucky,2019-20,2019,medical,0.5,59233,274
school_vax_view,Kentucky,2019-20,2019,non_medical,1.4,59233,809
school_vax_view,Kentucky,2020-21,2020,any,1.0,59233,569
school_vax_view,Kentucky,2020-21,2020,medical,0.2,59233,92
school_vax_view,Kentucky,2020-21,2020,non_medical,0.8,59233,478
school_vax_view,Kentucky,2021-22,2021,any,1.3,59233,774
