"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"4799","Exemption","Medical Exemption","States","New Hampshire","2014-15","0.2",12422,NA,"",25,"Census (public); Voluntary response (private)"
"4800","Exemption","Medical Exemption","States","New Jersey","2014-15","0.2",120471,NA,"*",241,"Census (public); Voluntary response (private)"
"4801","Exemption","Medical Exemption","States","New Mexico","2014-15","0.1",29918,NA,"",18,"Census"
"4802","Exemption","Medical Exemption","States","New York","2014-15","0.1",237045,NA,"",309,"Census"
"4803","Exemption","Medical Exemption","States","North Carolina","2014-15","0.1",129792,NA,"*",178,"Census (public); Voluntary response (private)"
"4804","Exemption","Medical Exemption","States","North Dakota","2014-15","0.3",10017,NA,"*",28,"Census"
"4805","Exemption","Medical Exemption","States","Ohio","2014-15","0.3",149080,NA,"",384,"Census (public); Voluntary response (private)"
"4806","Exemption","Medical Exemption","States","Oklahoma","2014-15","0.1",56967,NA,"",76,"Census"
"4807","Exemption","Medical Exemption","States","Oregon","2014-15","0.2",46229,NA,"",78,"Census"
"4808","Exemption","Medical Exemption","States","Pennsylvania","2014-15","0.3",146378,NA,"",470,"Census"
"4809","Exemption","Medical Exemption","States","Rhode Island","2014-15","0.2",11163,NA,"",27,"Census"
"4810","Exemption","Medical Exemption","States","South Carolina","2014-15","0.1",62864,NA,"*",74,"Stratified 1-stage cluster sample"
"4811","Exemption","Medical Exemption","States","South Dakota","2014-15","0.2",12008,NA,"*",21,"Census"
"4812","Exemption","Medical Exemption","States","Tennessee","2014-15","0.2",78276,NA,"",140,"Census"
"4813","Exemption","Medical Exemption","States","Texas","2014-15","0.1",406099,NA,"§",406,"Census (public); Voluntary response (private)"
"4814","Exemption","Medical Exemption","States","Utah","2014-15","0.2",50916,NA,"*",90,"Census"
"4815","Exemption","Medical Exemption","States","Vermont","2014-15","0.2",6277,NA,"",13,"Census"
"4816","Exemption","Medical Exemption","States","Virginia","2014-15","0.3",103821,NA,"*",305,"Stratified 2-stage cluster sample"
"4817","Exemption","Medical Exemption","States","Washington","2014-15","1.2",88809,NA,"*",1055,"Census (public); Voluntary response (private)"
"4818","Exemption","Medical Exemption","States","West Virginia","2014-15","0.2",22016,NA,"",38,"Voluntary response"
"4819","Exemption","Medical Exemption","States","Wisconsin","2014-15","0.4",69335,NA,"",301,"Stratified 2-stage cluster sample"
"4820","Exemption","Medical Exemption","States","Wyoming","2014-15","0.3",7983,NA,"§.‡‡",24,"Census"
"4821","Exemption","Medical Exemption","States","Alabama","2015-16","0.1",60392,NA,"",40,"Census"
"4822","Exemption","Medical Exemption","States","Alaska","2015-16","1.2",9937,NA,"",103,"Census"
"4823","Exemption","Medical Exemption","States","Arizona","2015-16","0.2",83088,NA,"",189,"Census"
"4824","Exemption","Medical Exemption","States","Arkansas","2015-16","0.1",40258,NA,"",21,"Census (public); Voluntary response (private)"
"4825","Exemption","Medical Exemption","States","California","2015-16","0.2",593788,NA,"",993,"Census"
"4826","Exemption","Medical Exemption","States","Colorado","2015-16","0.1",69137,NA,"<",0,"Simple random sample"
"4827","Exemption","Medical Exemption","States","Connecticut","2015-16","0.3",39533,NA,"",110,"Census"
"4828","Exemption","Medical Exemption","States","Delaware","2015-16","0.1",11589,NA,"<",5,"Stratified 2-stage cluster sample"
"4829","Exemption","Medical Exemption","States","District of Columbia","2015-16","0.5",8080,NA,"",44,"Census"
"4830","Exemption","Medical Exemption","States","Florida","2015-16","0.3",224430,NA,"",699,"Census"
"4831","Exemption","Medical Exemption","States","Georgia","2015-16","0.1",131403,NA,"",145,"Census"
"4832","Exemption","Medical Exemption","States","Hawaii","2015-16","0.4",16325,NA,"",70,"Stratified 2-stage cluster sample"
"4833","Exemption","Medical Exemption","States","Idaho","2015-16","0.3",22686,NA,"",69,"Census"
"4834","Exemption","Medical Exemption","States","Illinois","2015-16","0.2",151309,NA,"§",303,"Census"
"4835","Exemption","Medical Exemption","States","Indiana","2015-16","0.5",83525,NA,"",395,"Voluntary response"
"4836","Exemption","Medical Exemption","States","Iowa","2015-16","0.3",41215,NA,"",119,"Census"
"4837","Exemption","Medical Exemption","States","Kansas","2015-16","0.2",39555,NA,"",97,"Census"
"4838","Exemption","Medical Exemption","States","Kentucky","2015-16","0.2",54353,NA,"",129,"Census"
