source,state_name,school_year,year,any_rate,medical_rate,non_medical_rate,population_size,any_n,medical_n,non_medical_n
school_vax_view,Tennessee,2023-24,2023,3.6,0.1,3.4,79323,2829,107,2722
school_vax_view,Tennessee,2024-25,2024,3.8,0.1,3.7,78299,2985,100,2884
school_vax_view,Texas,2019-20,2019,2.5,0.2,2.2,398680,9894,929,8965
school_vax_view,Texas,2020-21,2020,2.3,0.2,2.1,377840,8817,699,8118
school_vax_view,Texas,2021-22,2021,2.9,0.2,2.7,389037,11166,849,10316
school_vax_view,Texas,2022-23,2022,3.5,0.2,3.3,381680,13281,850,12431
school_vax_view,Texas,2023-24,2023,3.9,0.2,3.6,381421,14727,817,13910
school_vax_view,Texas,2024-25,2024,4.3,0.3,4.0,378860,16417,1210,15207
school_vax_view,United States,2019-20,2019,2.5,0.3,2.2,,,,
school_vax_view,United States,2020-21,2020,2.2,0.2,1.9,3520205,76888,8335,67809
school_vax_view,United States,2021-22,2021,2.6,0.2,2.3,3835130,98069,8230,88955
school_vax_view,United States,2022-23,2022,3.0,0.2,2.8,3832381,115575,8761,106466
school_vax_view,United States,2023-24,2023,3.3,0.2,3.1,3823506,127591,8154,118409
school_vax_view,United States,2024-25,2024,3.6,0.2,3.4,3785644,137938,8293,128894
school_vax_view,Utah,2019-20,2019,5.4,0.1,5.2,49208,2639,59,2580
school_vax_view,Utah,2020-21,2020,5.1,0.1,5.0,46247,2366,58,2308
school_vax_view,Utah,2021-22,2021,7.4,0.3,7.1,48995,3606,129,3477
school_vax_view,Utah,2022-23,2022,8.1,0.1,8.0,46635,3786,57,3729
school_vax_view,Utah,2023-24,2023,9.3,0.2,9.1,46228,4311,93,4218
school_vax_view,Utah,2024-25,2024,10.3,0.3,10.0,45818,4729,138,4591
school_vax_view,Vermont,2019-20,2019,3.7,0.1,3.5,6293,232,9,223
school_vax_view,Vermont,2020-21,2020,3.2,0.1,3.1,5535,176,6,170
school_vax_view,Vermont,2021-22,2021,3.3,0.1,3.2,6126,202,6,196
school_vax_view,Vermont,2022-23,2022,3.6,0.2,3.3,5816,208,14,194
school_vax_view,Vermont,2023-24,2023,4.0,0.2,3.8,5630,227,11,216
school_vax_view,Vermont,2024-25,2024,3.9,0.2,3.7,5432,212,11,201
school_vax_view,Virginia,2019-20,2019,1.7,0.3,1.4,99399,1711,333,1378
school_vax_view,Virginia,2020-21,2020,1.5,0.2,1.2,88273,1288,214,1074
school_vax_view,Virginia,2021-22,2021,1.8,0.3,1.5,95996,1638,263,1375
school_vax_view,Virginia,2022-23,2022,2.2,0.3,1.9,93271,2055,283,1772
school_vax_view,Virginia,2023-24,2023,2.4,0.3,2.1,92633,2204,273,1930
school_vax_view,Virginia,2024-25,2024,2.7,0.3,2.4,91453,2433,301,2131
school_vax_view,Washington,2019-20,2019,4.6,0.7,5.0,87757,,647,4359
school_vax_view,Washington,2020-21,2020,3.3,0.5,2.1,74931,2503,389,1563
school_vax_view,Washington,2021-22,2021,3.7,0.5,2.5,87256,3200,465,2215
school_vax_view,Washington,2022-23,2022,4.0,0.4,3.2,86284,3471,366,2757
school_vax_view,Washington,2023-24,2023,4.8,0.4,3.9,84053,4025,342,3276
school_vax_view,Washington,2024-25,2024,4.8,0.4,3.9,76756,3654,273,3006
school_vax_view,West Virginia,2019-20,2019,0.1,0.1,,17114,21,21,
school_vax_view,West Virginia,2020-21,2020,,,,,,,
school_vax_view,West Virginia,2021-22,2021,0.1,0.1,,18070,17,17,
school_vax_view,West Virginia,2022-23,2022,0.0,0.0,,19175,7,7,
school_vax_view,West Virginia,2023-24,2023,0.1,0.1,,18261,7,7,
school_vax_view,Wisconsin,2019-20,2019,5.7,0.2,5.5,67391,3861,168,3693
school_vax_view,Wisconsin,2020-21,2020,5.2,0.2,4.9,63486,3294,154,3141
school_vax_view,Wisconsin,2021-22,2021,6.3,0.3,6.0,64275,4071,198,3873
school_vax_view,Wisconsin,2022-23,2022,7.2,0.5,6.7,63593,4583,340,4244
school_vax_view,Wisconsin,2023-24,2023,7.7,0.4,6.2,62028,4788,239,3833
school_vax_view,Wisconsin,2024-25,2024,7.6,0.5,6.3,61120,4641,331,3881
school_vax_view,Wyoming,2019-20,2019,3.5,0.3,3.2,7913,280,24,256
school_vax_view,Wyoming,2020-21,2020,3.0,,,6923,205,,
school_vax_view,Wyoming,2021-22,2021,3.9,0.2,3.7,7382,289,15,274
school_vax_view,Wyoming,2022-23,2022,4.8,0.2,4.6,7060,339,16,323
school_vax_view,Wyoming,2023-24,2023,5.6,0.2,5.4,6754,378,14,364
school_vax_view,Wyoming,2024-25,2024,5.9,0.2,5.7,6564,386,15,371
