"source","vaccine","state_name","year","year_type","school_year","vaccine_coverage_estimate","ci_95","sample_size"
"school_vax_view","DTP, DTaP, or DT","Rhode Island",2024,"school_year","2024-25",96.7,NA,10088
"school_vax_view","DTP, DTaP, or DT","South Carolina",2019,"school_year","2019-20",95.2,NA,65938
"school_vax_view","DTP, DTaP, or DT","South Carolina",2020,"school_year","2020-21",95,NA,56330
"school_vax_view","DTP, DTaP, or DT","South Carolina",2021,"school_year","2021-22",91,NA,58276
"school_vax_view","DTP, DTaP, or DT","South Carolina",2022,"school_year","2022-23",92.1,NA,58878
"school_vax_view","DTP, DTaP, or DT","South Carolina",2023,"school_year","2023-24",92.3,NA,58069
"school_vax_view","DTP, DTaP, or DT","South Carolina",2024,"school_year","2024-25",91.8,NA,57718
"school_vax_view","DTP, DTaP, or DT","South Dakota",2019,"school_year","2019-20",95.9,NA,12367
"school_vax_view","DTP, DTaP, or DT","South Dakota",2020,"school_year","2020-21",93.7,NA,11512
"school_vax_view","DTP, DTaP, or DT","South Dakota",2021,"school_year","2021-22",93.2,NA,12251
"school_vax_view","DTP, DTaP, or DT","South Dakota",2022,"school_year","2022-23",92.2,NA,12081
"school_vax_view","DTP, DTaP, or DT","South Dakota",2023,"school_year","2023-24",90.6,NA,11744
"school_vax_view","DTP, DTaP, or DT","South Dakota",2024,"school_year","2024-25",89.6,NA,11367
"school_vax_view","DTP, DTaP, or DT","TX-City of San Antonio",2024,"school_year","2024-25",94.3,NA,24929
"school_vax_view","DTP, DTaP, or DT","Tennessee",2019,"school_year","2019-20",96.4,NA,80595
"school_vax_view","DTP, DTaP, or DT","Tennessee",2020,"school_year","2020-21",96.4,NA,73819
"school_vax_view","DTP, DTaP, or DT","Tennessee",2021,"school_year","2021-22",95.2,NA,79120
"school_vax_view","DTP, DTaP, or DT","Tennessee",2022,"school_year","2022-23",94.8,NA,79692
"school_vax_view","DTP, DTaP, or DT","Tennessee",2023,"school_year","2023-24",94.6,NA,79323
"school_vax_view","DTP, DTaP, or DT","Tennessee",2024,"school_year","2024-25",94,NA,78299
"school_vax_view","DTP, DTaP, or DT","Texas",2019,"school_year","2019-20",96.6,NA,398680
"school_vax_view","DTP, DTaP, or DT","Texas",2020,"school_year","2020-21",95,NA,377840
"school_vax_view","DTP, DTaP, or DT","Texas",2021,"school_year","2021-22",93.7,NA,389037
"school_vax_view","DTP, DTaP, or DT","Texas",2022,"school_year","2022-23",93.8,NA,381680
"school_vax_view","DTP, DTaP, or DT","Texas",2023,"school_year","2023-24",94,NA,381421
"school_vax_view","DTP, DTaP, or DT","Texas",2024,"school_year","2024-25",92.9,NA,378860
"school_vax_view","DTP, DTaP, or DT","United States",2019,"school_year","2019-20",94.9,NA,NA
"school_vax_view","DTP, DTaP, or DT","United States",2020,"school_year","2020-21",93.6,NA,3510744
"school_vax_view","DTP, DTaP, or DT","United States",2021,"school_year","2021-22",92.7,NA,3835130
"school_vax_view","DTP, DTaP, or DT","United States",2022,"school_year","2022-23",92.7,NA,3832381
"school_vax_view","DTP, DTaP, or DT","United States",2023,"school_year","2023-24",92.3,NA,3823506
"school_vax_view","DTP, DTaP, or DT","United States",2024,"school_year","2024-25",92.1,NA,3785644
"school_vax_view","DTP, DTaP, or DT","Utah",2019,"school_year","2019-20",92.2,NA,49208
"school_vax_view","DTP, DTaP, or DT","Utah",2020,"school_year","2020-21",91.1,NA,46247
"school_vax_view","DTP, DTaP, or DT","Utah",2021,"school_year","2021-22",89.6,NA,48995
"school_vax_view","DTP, DTaP, or DT","Utah",2022,"school_year","2022-23",89.7,NA,46635
"school_vax_view","DTP, DTaP, or DT","Utah",2023,"school_year","2023-24",88.5,NA,46228
"school_vax_view","DTP, DTaP, or DT","Utah",2024,"school_year","2024-25",88.1,NA,45818
"school_vax_view","DTP, DTaP, or DT","Vermont",2019,"school_year","2019-20",94.1,NA,6293
"school_vax_view","DTP, DTaP, or DT","Vermont",2020,"school_year","2020-21",93.6,NA,5535
"school_vax_view","DTP, DTaP, or DT","Vermont",2021,"school_year","2021-22",92.9,NA,6126
"school_vax_view","DTP, DTaP, or DT","Vermont",2022,"school_year","2022-23",92.8,NA,5816
"school_vax_view","DTP, DTaP, or DT","Vermont",2023,"school_year","2023-24",92.7,NA,5630
"school_vax_view","DTP, DTaP, or DT","Vermont",2024,"school_year","2024-25",93.3,NA,5432
"school_vax_view","DTP, DTaP, or DT","Virginia",2019,"school_year","2019-20",97.6,NA,99399
"school_vax_view","DTP, DTaP, or DT","Virginia",2020,"school_year","2020-21",97.7,NA,88273
"school_vax_view","DTP, DTaP, or DT","Virginia",2021,"school_year","2021-22",98.3,NA,95996
